0,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.002,-1.29486905544113,-1.56601123652543,-1.67907655363091,-2.91730308156627,-0.502269770695526,-0.12809446630525,1
0.004,-1.29486905544113,-1.56601123652543,-1.67907655363091,-2.91730308156627,-0.502269770695526,-0.12809446630525,1
0.006,-1.29487139288135,-1.56600747625516,-1.67907375383956,-2.91731015443976,-0.502272091103331,-0.128093881232244,1
0.008,-1.29487374625494,-1.56600372725325,-1.67907097713837,-2.91731719644534,-0.50227442732855,-0.128093292176012,1
0.01,-1.2948768841194,-1.56599872863003,-1.67906727478652,-2.91732658582423,-0.502277542328461,-0.128092506766124,1
0.012,-1.29488080651595,-1.56599248045692,-1.67906264667126,-2.91733832262061,-0.502281436144179,-0.128091524998385,1
0.014,-1.29488551348928,-1.56598498280412,-1.67905709267464,-2.91735240688418,-0.502286108820289,-0.128090346869405,1
0.016,-1.29489100509316,-1.56597623575561,-1.679050612655,-2.91736883867485,-0.502291560410442,-0.128088972375194,1
0.018,-1.29489728139044,-1.56596623940913,-1.679043206447,-2.9173876180628,-0.502297790977362,-0.128087401511156,1
0.02,-1.29490434245307,-1.56595499387623,-1.67903487386155,-2.91740874512842,-0.502304800592846,-0.128085634272093,1
0.022,-1.2949121883621,-1.56594249928221,-1.67902561468587,-2.91743221996235,-0.502312589337766,-0.128083670652204,1
0.024,-1.29492081920764,-1.56592875576619,-1.67901542868348,-2.91745804266545,-0.502321157302072,-0.128081510645081,1
0.026,-1.29493023508894,-1.56591376348105,-1.67900431559416,-2.91748621334884,-0.502330504584791,-0.128079154243718,1
0.028,-1.29494043611433,-1.56589752259348,-1.67899227513397,-2.91751673213385,-0.502340631294035,-0.128076601440499,1
0.03,-1.29495142240123,-1.56588003328396,-1.67897930699527,-2.91754959915205,-0.502351537546998,-0.128073852227209,1
0.032,-1.29496319407619,-1.56586129574679,-1.67896541084667,-2.91758481454524,-0.502363223469965,-0.128070906595027,1
0.034,-1.29497575127485,-1.56584131019007,-1.67895058633306,-2.91762237846546,-0.50237568919831,-0.12806776453453,1
0.036,-1.29498909414197,-1.56582007683571,-1.67893483307558,-2.91766229107496,-0.502388934876504,-0.128064426035689,1
0.038,-1.29500322283143,-1.56579759591945,-1.67891815067165,-2.91770455254623,-0.502402960658115,-0.128060891087874,1
0.04,-1.29501813750621,-1.56577386769087,-1.67890053869491,-2.91774916306197,-0.502417766705814,-0.128057159679847,1
0.042,-1.29503383833845,-1.56574889241337,-1.67888199669528,-2.91779612281513,-0.502433353191381,-0.128053231799771,1
0.044,-1.29505032550939,-1.5657226703642,-1.67886252419892,-2.91784543200885,-0.502449720295704,-0.128049107435201,1
0.046,-1.29506759920941,-1.56569520183447,-1.67884212070819,-2.9178970908565,-0.502466868208792,-0.12804478657309,1
0.048,-1.29508565963804,-1.56566648712914,-1.67882078570172,-2.91795109958168,-0.502484797129772,-0.128040269199787,1
0.05,-1.29510450700393,-1.56563652656705,-1.67879851863434,-2.91800745841818,-0.502503507266898,-0.128035555301036,1
0.052,-1.29512414152492,-1.5656053204809,-1.67877531893711,-2.91806616761002,-0.502522998837558,-0.128030644861977,1
0.054,-1.29514456342796,-1.56557286921732,-1.67875118601727,-2.91812722741142,-0.502543272068278,-0.128025537867146,1
0.056,-1.29516577294918,-1.56553917313678,-1.67872611925829,-2.91819063808682,-0.502564327194725,-0.128020234300475,1
0.058,-1.2951877703339,-1.56550423261372,-1.67870011801982,-2.91825639991086,-0.502586164461719,-0.128014734145291,1
0.06,-1.29521055583657,-1.56546804803646,-1.67867318163769,-2.91832451316836,-0.502608784123236,-0.128009037384318,1
0.062,-1.29523412972087,-1.56543061980727,-1.67864530942391,-2.91839497815438,-0.502632186442415,-0.128003143999672,1
0.064,-1.29525849225962,-1.56539194834235,-1.67861650066666,-2.91846779517414,-0.502656371691566,-0.127997053972869,1
0.066,-1.29528364373487,-1.56535203407187,-1.67858675463025,-2.91854296454307,-0.502681340152176,-0.127990767284817,1
0.068,-1.29530958443786,-1.56531087743996,-1.67855607055517,-2.91862048658679,-0.502707092114917,-0.127984283915821,1
0.07,-1.29533631466903,-1.56526847890474,-1.67852444765804,-2.91870036164111,-0.502733627879657,-0.127977603845581,1
0.072,-1.29536383473806,-1.56522483893832,-1.67849188513158,-2.91878259005202,-0.502760947755458,-0.12797072705319,1
0.074,-1.29539214496384,-1.5651799580268,-1.67845838214466,-2.91886717217568,-0.502789052060596,-0.12796365351714,1
0.076,-1.2954212456745,-1.56513383667034,-1.67842393784223,-2.91895410837844,-0.502817941122565,-0.127956383215315,1
0.078,-1.29545113720741,-1.56508647538311,-1.67838855134534,-2.91904339903682,-0.502847615278082,-0.127948916124995,1
0.08,-1.2954818199092,-1.56503787469332,-1.67835222175114,-2.91913504453752,-0.502878074873099,-0.127941252222853,1
0.082,-1.29551329413576,-1.5649880351433,-1.67831494813282,-2.91922904527738,-0.502909320262815,-0.12793339148496,1
0.084,-1.29554556025224,-1.56493695728941,-1.67827672953964,-2.91932540166344,-0.502941351811682,-0.127925333886779,1
0.086,-1.29557861863308,-1.56488464170213,-1.67823756499692,-2.91942411411286,-0.502974169893412,-0.127917079403168,1
0.088,-1.29561246966202,-1.56483108896606,-1.67819745350599,-2.91952518305298,-0.503007774890995,-0.12790862800838,1
0.09,-1.29564711373208,-1.56477629967993,-1.6781563940442,-2.91962860892128,-0.5030421671967,-0.127899979676063,1
0.092,-1.2956825512456,-1.56472027445662,-1.67811438556494,-2.91973439216539,-0.503077347212094,-0.127891134379256,1
